fecha,hora,demanda
01/06/2013,0,211.523
01/06/2013,1,192.062
01/06/2013,2,177.325
01/06/2013,3,178.419
01/06/2013,4,175.584
01/06/2013,5,177.007
01/06/2013,6,184.114
01/06/2013,7,190.746
01/06/2013,8,195.916
01/06/2013,9,201.122
01/06/2013,10,200.426
01/06/2013,11,200.801
01/06/2013,12,202.316
01/06/2013,13,199.097
01/06/2013,14,195.14
01/06/2013,15,195.85
01/06/2013,16,204.368
01/06/2013,17,222.59
01/06/2013,18,265.892
01/06/2013,19,281.01
01/06/2013,20,276.627
01/06/2013,21,263.692
01/06/2013,22,248.015
01/06/2013,23,228.15
02/06/2013,0,205.691
02/06/2013,1,188.991
02/06/2013,2,177.278
02/06/2013,3,170.41
02/06/2013,4,166.818
02/06/2013,5,162.976
02/06/2013,6,163.717
02/06/2013,7,154.459
02/06/2013,8,155.55
02/06/2013,9,165.319
02/06/2013,10,170.688
02/06/2013,11,174.529
02/06/2013,12,175.422
02/06/2013,13,172.122
02/06/2013,14,171.557
02/06/2013,15,171.974
02/06/2013,16,177.121
02/06/2013,17,198.206
02/06/2013,18,244.71
02/06/2013,19,257.612
02/06/2013,20,258.495
02/06/2013,21,251.696
02/06/2013,22,238.395
02/06/2013,23,216.501
03/06/2013,0,194.205
03/06/2013,1,177.415
03/06/2013,2,168.403
03/06/2013,3,165.055
03/06/2013,4,165.08
03/06/2013,5,173.03
03/06/2013,6,197.241
03/06/2013,7,209.239
03/06/2013,8,209.787
03/06/2013,9,207.044
03/06/2013,10,210.264
03/06/2013,11,216.101
03/06/2013,12,211.982
03/06/2013,13,202.134
03/06/2013,14,198.336
03/06/2013,15,201.951
03/06/2013,16,214.063
03/06/2013,17,228.408
03/06/2013,18,263.139
03/06/2013,19,283.67
03/06/2013,20,284.59
03/06/2013,21,278.836
03/06/2013,22,266.049
03/06/2013,23,241.404
04/06/2013,0,219.242
04/06/2013,1,189.009
04/06/2013,2,179.259
04/06/2013,3,174.124
